#,Who,=,*,A,B,C,D,E
189,dasdull,4404,,490,964,1374,1576,-1
189,solaimanope,4404,,490,948,1350,1616,-8
191,ghj1222,4402,,492,890,1374,1646,
192,Martynas,4394,,490,960,1368,1576,-4
193,*betrue12,4390,,436,944,1362,1648,-1
193,*brimix__,4390,,432,948,1362,1648,-10
195,SPatrik,4386,,490,948,1380,1568,-2
196,Jon,4384,,492,956,1368,1568,-1
197,txingml,4378,,488,948,1350,1592,-6
197,MonkeyKing,4378,,442,952,1368,1616,
199,*kmjp,4374,,346,-1,1146,1432,1450
199,LanrTabe,4374,,492,932,1326,1624,
201,meopass_kira,4372,+5,490,936,1326,1120,
201,8192,4372,,486,940,1362,1584,-4
203,Jevrii,4370,,444,968,1398,1560,
204,ymahajan98,4368,+1,492,936,1320,1520,
205,*akashdeep,4366,,494,968,1386,1518,-3
206,suikabenzene,4360,,492,960,1356,1552,
206,eulerscheZahl,4360,,490,952,1368,,1550
208,balakrishnan,4358,,492,964,1392,1510,-3
209,neckborov,4354,,494,972,1422,1466,
209,pigeon_killer,4354,,434,944,1368,1608,
209,AVM.Martin,4354,,490,952,1380,1532,-7
212,xrdog,4350,+1,490,948,1326,1486,
212,hsfzLZH1,4350,,492,902,1374,1582,-1
212,DomiKo,4350,,494,972,1318,1566,-1
215,*aeremin,4348,,392,960,1380,1616,-1
216,b21quocbao,4346,,490,948,1356,1552,-6
217,hearthewsong,4340,,492,952,1344,1552,-4
218,scauweng,4336,,490,952,1350,1544,
219,*Temotoloraia,4334,,438,898,1392,1606,
219,DovydasVad,4334,+1,436,948,1338,1512,
219,Marinkovic,4334,,492,956,1368,1518,
222,fsshakkhor,4332,,440,928,1428,1536,-4
223,Lius,4330,,492,956,1356,1526,-4
224,paulocezar,4328,,482,940,1338,1568,
224,ATSTNG,4328,,490,956,1362,1520,
226,YunGoon,4326,,416,972,1356,1582,-2
226,iamgqr,4326,,490,952,1332,1552,-1
228,xwchow,4322,,440,956,1368,1558,-3
229,W--o_o--W,4318,+1,494,914,1356,1454,
230,*baluteshih,4316,,278,968,1410,-2,1660
230,*pustaczek,4316,,442,886,1368,1620,
230,InFiNiTeemo,4316,,486,944,1368,1518,-1
233,Nicholas_Patrick,4314,,492,956,1362,1504,-1
233,kimjihoon,4314,,490,956,1356,1512,
235,m1sterzer0,4312,,488,948,1356,1520,
235,Death_Scythe,4312,,436,948,1368,1560,
237,bartkaw,4308,,492,936,1338,1542,-2
238,sharpener,4304,,438,948,1350,1568,-2
239,oihyxc,4302,,492,844,1356,-1,1610
239,lrvideckis,4302,,430,902,1356,1614,-6
241,JoseSoto,4300,,492,952,1296,1560,
242,goodbye2018,4298,,496,948,1398,1456,
243,klimmek55,4296,,434,898,1332,1632,-1
244,DP_I_J_K,4292,,436,944,1344,1568,-4
244,FlashHu,4292,+2,490,936,1314,1352,
246,nejineji,4288,,490,940,1338,1520,-3
247,*leaf1415,4286,,490,948,1386,1462,-2
248,jiangly,4280,,478,920,1314,1568,
248,Allen_3,4280,,486,944,1314,1536,-2
