2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
217,zeyad_khattab,4218,,494,960,1398,1366,-1
218,l-yc,4216,,490,956,1350,1420,-1
219,BLUESKY007,4210,,488,936,1332,1454,
220,Fly_37,4206,,486,948,1276,1496,
220,seica,4206,,434,948,1380,1444,-3
222,torus711,4202,,476,912,1326,1488,-5
223,ernestvw,4198,,440,964,1308,1486,-4
224,raresdanut,4194,,436,932,1338,1488,-2
225,IceWiz,4190,,484,952,1344,1410,-4
225,Connected_failed,4190,,490,882,1314,1504,
227,vebgor,4188,,492,940,1260,1496,
228,cloudsky01,4186,,428,920,1308,,1530
228,dhirajfx3,4186,,442,960,1362,1422,-4
228,jaguar1996,4186,-2,492,932,1270,1592,
231,Mitsuhaw,4180,,492,948,1350,1390,-1
231,Thesedays_,4180,,492,932,1350,1406,-1
233,bigChungus_,4176,,436,944,1332,1464,-1
233,popabogdannnn,4176,,490,956,1266,1464,
235,caidodo0_0,4172,,490,948,1246,1488,-1
235,AM.,4172,,480,944,1326,1422,
237,Rayment,4166,,488,878,1314,1486,-2
238,STommydx,4164,,486,920,1302,1456,-1
239,Rakan_Xayan,4162,,490,948,1350,1374,-2
239,vhnvn,4162,,382,904,1308,1568,-20
241,SuperSodaSea,4160,,492,948,1356,1364,-3
242,achi_basadzishvili,4158,+3,492,948,1338,1080,
243,Amori,4156,,488,952,1326,1390,-1
243,ilovekidneystone,4156,,488,944,1332,1392,-4
243,Louhc,4156,,482,924,1320,1430,
246,shourov.sust,4154,,490,956,1356,1352,
246,jeong,4154,,438,952,1374,1390,-3
246,makecir,4154,,490,952,1332,1380,
246,kristevalex,4154,,488,940,1326,1400,
250,AQT,4152,,430,940,1362,-4,1420
251,KOPAVVOBAR_KAnN6APA,4150,,494,948,1344,1364,-2
251,b1z1da,4150,,488,870,1332,-2,1460
253,When,4146,,372,924,1270,,1580
253,hagikaze,4146,,394,796,1374,1582,-6
255,njw1204,4144,+1,494,952,1302,1296,
255,hirokazu1020,4144,,462,884,1416,1382,-1
257,plcherrim,4140,,486,940,1362,1352,
257,bgrm,4140,,488,952,1260,1440,
257,Taran_1407,4140,,492,848,1380,1420,-1
260,redotter,4136,-2,494,956,1338,1448,
260,frogcatcher,4136,,492,824,1308,1512,
262,artemx,4134,,494,894,1290,1456,-1
263,abhayps,4132,+1,490,898,1276,1368,-1
263,siddharthnohria,4132,+1,484,944,1320,1284,
263,peti1234,4132,,492,882,1302,1456,
263,caeious,4132,,424,770,1434,1504,-1
263,youx,4132,,488,948,1240,1456,-3
268,techid2000,4130,,482,932,1302,1414,-1
268,dened,4130,,488,940,1302,1400,
270,heskall,4128,,492,948,1350,1338,
271,FoolishMe,4126,,490,932,1272,1432,
272,xuzijian629,4124,,496,964,1332,1332,-6
272,Junakson,4124,,494,960,1314,1356,-5
274,wYN5CgRn,4122,,488,936,1290,1408,
274,arman_ferdous,4122,,466,888,1440,1328,
274,skarlord,4122,+1,480,936,1206,1400,
277,enochjung,4118,,462,888,1272,1496,-2
278,yakamoto,4116,,492,956,1332,1336,
278,crypt1k,4116,+3,438,952,1290,1136,
278,fengyecong,4116,,488,920,1416,1292,-3
278,Maho,4116,,436,952,1380,1348,
282,guestcheap,4114,,482,874,1338,,1420
282,Shavkat_Aminov,4114,+2,472,876,1242,1324,
284,Osama_Alkhodairy,4110,,494,968,1404,1244,
284,fragusbot,4110,,436,952,1380,1342,-1
286,kuuso,4108,,492,940,1332,1344,
287,shijk,4104,,466,908,1290,1440,-1
287,gleb.astashkin,4104,,444,912,1392,1356,-1
287,RockyB,4104,-2,426,924,1384,-4,1470
290,Thomas_94,4100,,486,940,1228,1446,
291,Journey_Begin,4096,+2,492,960,1374,1070,-5
291,kashkevich,4096,,438,948,1368,1342,
293,k1nval,4090,,492,960,1312,1326,-3
294,ragannito,4086,,490,956,1380,-1,1260
295,Shaykhutdinov-T-I,4084,,490,944,1350,,1300
295,irri,4084,,480,912,1260,1432,-2
297,Anmol17220,4082,,488,960,1326,1308,-1
298,rsk0315,4078,,490,940,1272,1376,
298,ya_,4078,,436,944,1356,1342,-3
300,apoorv024,4076,+1,494,956,1344,1182,
300,badcw,4076,,488,944,1344,1300,-1
300,AboAbdoMC,4076,,484,936,1272,1384,-2
303,DGC,4074,,486,932,1338,1318,
303,nianheng,4074,+1,-1,948,1338,1688,-1
303,notabie,4074,,464,944,1332,1334,
306,Natori,4066,,494,956,1258,1358,-2
307,Slr2002,4064,,466,944,1302,1352,-1
308,manu_sy,4062,,488,932,1290,1352,
308,abaab,4062,,494,968,1386,1214,
310,2683331518,4058,,480,936,1242,1400,
310,Zlatan,4058,,476,836,1290,1456,
310,fold,4058,,404,868,1306,1480,-1
313,abood303,4056,,416,948,1172,1520,-3
313,Seeht,4056,,492,956,1386,1222,
313,arnold518,4056,+3,384,932,1284,1156,
316,Naumtsev,4054,,488,940,1266,1360,
317,MarV,4052,,388,792,1218,1654,-1
317,FlyInTheSky,4052,,492,952,1296,1312,
319,MDvedh,4050,,436,940,1338,1336,
319,Dragon_fxl,4050,,488,854,1260,1448,-1
321,_Dispwnl,4048,+1,468,968,1302,1210,
321,sam721,4048,,488,948,1260,1352,
323,x_faraway_x,4040,+2,428,912,1296,1204,
324,forgottencsc,4038,,492,878,1326,1342,-4
324,YuliaY,4038,,490,948,1248,1352,
326,Performer.S,4036,,490,944,1356,1246,
327,VCT,4030,,422,940,1308,1360,-4
328,Cipri321,4026,,428,924,1290,1384,
329,KeyurJain,4024,,336,956,1392,1340,-4
329,bukefala,4024,,262,932,1344,1486,-3
331,hankeke,4020,,488,920,1302,1310,
331,VIProgrammer,4020,,486,916,1266,1352,-1
331,liu_zhan,4020,,490,952,-1,1388,1190
331,---Grigor---,4020,,440,920,1302,1358,
335,hackerwizard,4018,,490,940,1326,1262,-1
336,zzzzzy,4016,,438,878,1308,1392,-3
337,M..K,4014,,436,856,1332,1390,
337,Akel,4014,+2,196,948,1344,1326,
337,22momo,4014,,440,948,1266,1360,-1
340,eom,4010,,486,944,1252,1328,-3
340,_Kanna_,4010,,496,972,1416,1126,-5
342,nikolapesic2802,4002,,270,902,1386,1444,-7
342,Suunn,4002,,434,924,1332,1312,
344,stratoes,4000,,484,878,1296,1342,-2
345,ACoder_NWPU,3996,,424,850,1290,1432,-1
345,poirin,3996,,486,920,1230,1360,
347,saeed_odak,3994,,424,856,1314,1400,
347,T-D-K,3994,,490,932,1278,1294,
