2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
1144,dunjen_master,2526,,490,928,1108,-1,
1151,intersection,2524,,438,952,-1,1134,-4
1151,Khaled_Mohamed,2524,-1,434,928,1212,-1,
1151,ConnectorB,2524,,490,888,1146,-5,
1154,MeowMr,2522,,434,948,1140,-4,-1
1154,Main_Cpp,2522,,416,900,1206,-2,
1154,coder_pulkit_c,2522,,434,886,1202,,
1154,na9182ks,2522,,484,928,1110,,
1158,apostate,2520,,428,928,1164,-4,
1158,Xelmeph,2520,,488,856,1176,-1,
1158,mikeleven,2520,,424,842,1254,-2,
1158,tshr,2520,,488,886,1146,-3,
1162,Wrj,2518,,476,920,1122,-1,
1162,Matuha777,2518,,470,892,1156,,
1162,MilesChing,2518,,474,826,1218,-2,
1165,lokeshreddy1999,2516,,484,924,1108,-3,
1165,coderbd,2516,,476,888,1152,,
1165,bobuhiro11,2516,,480,920,1116,,
1165,_--,2516,,430,916,1170,,-3
1169,alaurens,2514,,454,844,,1216,
1169,Uzumaki_Narutoo,2514,,494,874,1146,-7,
1169,spartan_117,2514,,368,892,1254,,
1169,gksato,2514,,478,884,1152,,
1169,mickey2495,2514,,430,932,1152,-2,
1169,YuChang,2514,,438,888,1188,-4,
1169,ashwani_er,2514,,488,892,1134,,
1176,kgcurry59,2512,,450,928,1134,,
1176,lero1312,2512,,490,948,1074,,
1176,Adilet_,2512,,438,730,1344,-2,
1179,TISparta,2510,,494,618,1398,-2,-5
1179,hehelego,2510,,432,908,1170,,
1179,I_Love_Diashka,2510,,418,892,1200,,-2
1179,kingcranky,2510,,494,870,1146,,
1179,hrynb,2510,,490,850,1170,-2,
1179,2010160220,2510,,484,850,1176,-2,
1185,zqy1018,2508,,490,830,1188,-2,
1185,Bober,2508,,332,874,1302,-9,
1185,anybody...,2508,,420,912,1176,,
1185,yantang,2508,,420,876,1212,-2,
1185,whiplash_,2508,,426,846,1236,-5,
1185,Shef_11,2508,,482,904,1122,,
1185,Keane1998,2508,,484,842,1182,,
1192,yeyangrui,2506,,372,904,1230,-5,
1192,embetron,2506,,436,900,1170,,
1194,b506,2504,,466,904,1134,,
1194,sarthakag,2504,,492,928,1084,,
1194,QZR_2018,2504,,432,920,1152,-1,
1197,kapslocker,2502,,492,936,1074,,
1197,sazas,2502,,474,900,1128,,
1197,C137,2502,,488,952,1062,-4,
1197,prince_gupta,2502,,420,888,1194,,-1
1201,CarusoX,2500,,488,886,-6,1126,
1201,Grafiore,2500,,488,780,1232,-3,
1203,Wixee,2498,,482,888,1128,,
1203,shubh__agrawal,2498,,486,932,1080,,
1203,ForwardFuture,2498,,408,836,1254,-8,
1206,kusomushi,2496,,280,920,1296,-3,
1206,Zeround,2496,,492,812,1192,-3,
1206,gabib97,2496,,370,896,1230,-3,
1206,Fiction,2496,,372,846,1278,-4,
1206,rishup132,2496,,486,870,1140,-1,
1211,archit_jain09,2494,,380,820,1294,-4,
1211,MVHE,2494,,414,880,1200,,
1211,Dark_Hero,2494,,484,854,1156,,
1211,Photinia.S,2494,,352,912,1230,-2,-1
1215,markotee,2492,,314,900,1278,-5,
1215,king_tsar,2492,,494,840,1158,,
1215,ishit24,2492,,484,856,1152,-1,
1218,alexander.ivakhnenko,2490,,480,900,1110,,
1218,szh199710,2490,,474,888,1128,,
1218,Vizka,2490,,474,888,1128,,
1218,Losi4,2490,,484,872,1134,,-1
1218,crossarcher,2490,,476,904,1110,,
1223,polyakoff,2488,,476,896,1116,,
1223,HetaoBest,2488,,446,860,1182,,
1223,SDUTNING,2488,,482,868,1138,-3,
1226,yuto953,2486,,374,912,1200,-3,-2
1226,qwsin,2486,,442,718,1326,-3,
1226,PineappleMi,2486,,426,800,1260,-1,-3
1226,STL_MAN,2486,,378,824,1284,,-4
1226,WEGFan,2486,,422,888,1176,,
1226,timeles--S_O--dyssey,2486,,432,908,1146,,-1
1232,tandonkarsh,2484,,490,940,1054,,
1232,kmd_2000,2484,,486,912,1086,,
1232,verngutz,2484,,494,952,-3,1038,
1232,netflix,2484,,486,822,1176,,
1232,phibrain,2484,,414,876,1194,,-4
1232,tomaso,2484,,482,892,1110,,
1238,zhixiang,2482,,464,872,1146,-2,
1238,Brave_Cattle,2482,,486,880,1116,,
1238,De.Wilde,2482,,492,952,1038,-2,
1238,wade3han,2482,,492,742,1248,-4,
1242,Vijaykrishna,2480,,222,932,1326,,
1242,farzi_id,2480,,434,920,1126,-4,
1242,greenTransistor,2480,,476,876,1128,-1,
1245,ucrop,2478,,266,960,1252,,
1246,chojh1222,2476,,480,916,1080,,
1246,yash_kakarot,2476,,432,904,1140,,
1248,jiankoufang,2474,,468,872,1134,,
1248,m.hasan01,2474,,486,806,1182,-3,
1250,nobleman,2472,,490,932,1050,,
1250,parth_15,2472,,490,862,1120,-4,
1250,gu_castle,2472,,482,802,1188,-1,
1250,huainan-marquis,2472,,474,858,1140,-1,
1250,Dochi3,2472,,426,888,1158,-1,
1250,PedroBortolli,2472,,482,928,1062,-2,
1250,Horia16,2472,,490,956,1026,,
1257,beobeo,2470,,486,882,1102,-5,
1257,shpvb,2470,,486,850,1134,,
1257,sowfelicity,2470,,484,900,1086,,
1257,Nima324,2470,,436,896,1138,,
1257,baxirushi77,2470,,482,896,1092,,
1257,NachoLibre,2470,,428,854,1188,,
1257,silversRayleigh,2470,,484,896,1090,,
1257,alireza_kaviani,2470,,326,854,1290,-5,
1257,Moody1602,2470,,232,936,1302,-3,
1266,Eipsilly,2468,,476,770,,1222,
1267,Swan,2466,,428,874,1164,-2,
1267,manutdfc,2466,,474,888,1104,,
1267,shahed_ahmed,2466,,418,896,1152,,
1270,Romansp,2464,,488,920,1056,-1,
1270,mahabir10,2464,+1,372,908,1084,,
1270,Why_not,2464,,448,630,1386,,-4
1273,ytrsk,2462,,358,880,1224,-2,
1274,thomaswang2003,2460,,370,842,1248,-6,
1274,xavier_cai,2460,,416,892,1152,-1,
1274,Kausal,2460,,416,826,1218,-2,
1274,hell_hacker,2460,,438,878,1144,-9,
1274,lvao-x,2460,,482,924,1054,,
1274,JohnsonT,2460,,434,754,1272,-3,
1274,tk_hacked,2460,,374,862,1224,,
1274,wangjincheng,2460,,486,806,1168,-3,
1282,darkflamehxy,2458,,376,912,1170,-1,
1282,ast210,2458,,252,940,1266,,
1282,codesonic,2458,,484,900,1074,,
1282,2016551107funky,2458,,480,912,1066,,-1
1282,LIGUANGZHENG,2458,,448,864,1146,-1,
1282,xgzepto,2458,,340,888,1230,,
1282,TrainingRoom,2458,,480,846,1132,-1,
1289,partha_mbstu,2456,,468,896,1092,,
1289,manish_joshi,2456,,474,908,1074,,
1289,NJUSigma,2456,,416,888,1152,,
1292,Sid03,2454,,438,854,1162,,
1292,yny_boomzero,2454,,442,856,1156,-2,
1292,tictaccat,2454,,462,904,1088,-7,
1292,SueJane,2454,,424,830,1200,,
1292,nik-12,2454,,488,932,1034,,
1297,15joeybloom,2452,,426,912,1114,,
1298,aka.Foda,2450,,470,876,1104,,
1298,kumarvishalgupta,2450,,484,900,1066,-2,
1298,hosseinmasoodi,2450,,492,932,1026,-5,
1298,lollihunter,2450,,440,804,1206,,
1302,Fuad_Islam,2448,,484,928,1036,-1,
1302,Fasho,2448,-2,432,936,1180,-2,
1302,iaz1607,2448,,426,866,1156,-3,
1302,ygy,2448,,480,756,1212,,-2
1306,fnf47,2446,,402,748,1296,,
1306,AnchorCat,2446,,482,932,1032,-2,
1308,ICanHasCheezBurger,2444,,420,892,1132,,
1308,lokkkk,2444,,438,766,1240,-9,
1310,Mujahid,2442,,486,924,1032,,-1
1310,toppratyush007,2442,,486,828,1128,-1,
1310,sanketrai,2442,,354,780,1308,-3,
1313,sepehr81,2440,,248,920,1272,-4,
1313,Chase_Sky_De_,2440,,476,854,1110,-3,
1313,RANGEKATSHA,2440,,488,920,1032,,
1313,deepak2015,2440,,490,924,1026,-1,
1317,RainAir,2438,+1,488,638,1212,,
1317,fakeperson,2438,,488,792,1158,,
1319,hyjhyj,2436,,466,848,1122,,-2
1320,the_phoenixx,2434,,432,862,1140,-4,
1320,Biscuit46,2434,,476,794,1164,,
1320,letlifestop,2434,,420,868,1146,,
1323,alimq,2432,,390,800,1242,,
1323,Nakagawa.Kanon,2432,,436,826,1170,,-1
1325,dzssw,2430,,490,932,1008,-3,
1326,DC-HITMAN,2428,,478,900,1050,,
1326,sound_of_silence,2428,,474,864,1090,,
1326,Mohaimin66,2428,,486,928,1014,,-1
1326,saurabh_jasper,2428,,484,866,1078,-1,
1326,17110506090,2428,,488,924,1016,,
1331,Mastre,2426,,464,852,1110,,
1331,Andres_Alumets,2426,,436,742,1248,,
1333,1610120097,2424,,420,884,1120,,
1333,hit023,2424,,492,944,988,,
1333,manvi_garg45,2424,,426,900,1098,,
1333,liqianyu,2424,,486,888,1050,,
1333,bash,2424,,492,948,984,-5,
1333,denkora,2424,,490,848,1086,-1,
1333,FST-OIer,2424,,362,850,1212,,-1
1340,runfeng1998,2422,,368,752,1302,-3,
1340,Niedziol,2422,,286,924,1212,-2,
1340,moondemon68,2422,,494,968,960,,
1340,ZYCSwing,2422,,464,884,1074,-2,
1344,wittyshreya10,2420,,472,868,1080,,
1344,MAKCOH,2420,,482,828,1110,,
1344,---,2420,,446,798,1176,,
1344,makiiii,2420,,424,904,1092,-3,
1348,20175259,2418,,416,880,1122,,-2
1348,LowR,2418,,374,736,1308,,
1348,yChen_,2418,,474,860,1084,,
1348,arjunsanjeev7,2418,-4,492,968,1158,,-7
1352,reza,2416,,368,896,1152,-5,
1352,negativeX,2416,,426,862,1128,,
1354,www13059690,2414,,476,908,1030,,
1354,elabensaad,2414,,474,904,1036,,
1354,wifiiii,2414,,488,924,1002,,
1354,ii--__--ii,2414,,436,862,1116,,
1354,Amo-,2414,,486,884,1044,,
1359,Taran106,2412,,466,860,1086,-1,
1359,fire_tornado,2412,,476,802,1134,-2,
1359,An_Hero,2412,,476,924,1012,,-1
1359,Onesh0t,2412,,374,892,1146,-4,
1359,xgzc,2412,,300,924,1188,-1,
1359,basel-99,2412,,484,936,992,-1,
1365,harshit23897,2410,,488,882,1040,,
1365,z2434445619,2410,,434,892,1084,,
1367,IulianOleniuc,2408,,462,818,1128,-2,
1367,Kohane,2408,,484,688,1236,-13,
1369,Autonym,2406,,454,806,1146,,-2
1369,Kingofzeros,2406,,484,838,1084,-3,
1369,30something,2406,,438,888,1080,-3,
1369,s29011996,2406,,428,904,1074,-2,
1369,mucamaca,2406,,482,892,1032,,
1369,Tarun,2406,,420,840,1146,-1,
1375,kush159,2404,,488,944,972,-1,
1375,MekakuCityActors,2404,,482,830,1092,,
1375,Luka,2404,,488,680,1236,-2,
1378,Whiplash99,2402,,486,928,988,,
1378,adityaramesh,2402,,492,906,1004,-3,
1378,Icontofig,2402,,484,862,1056,,
1378,prerak872,2402,,488,912,1002,,
1382,jerry99,2400,,426,810,1164,-2,
1382,bittudalal,2400,,346,904,1150,,
1382,poojanpatel101,2400,,322,896,1182,,-2
1385,Verly,2398,,490,816,1092,-6,
1385,zj713300,2398,,484,928,986,-1,
1385,krso4,2398,,436,936,1026,,
1385,coder_rk98,2398,,472,884,1042,,
1385,Epiphyllum,2398,,484,792,1122,,-1
1385,frank,2398,,464,872,1062,,
1385,AmdSadi,2398,,484,900,1014,,-1
1385,changz,2398,,468,880,1050,,
1393,hemanthvhr_arg,2396,,464,896,1036,,
1393,dfzzl,2396,,478,832,1086,,
1393,lys0829,2396,,484,804,1108,-2,
1393,as_couple,2396,,212,924,1260,-1,
1393,KbMu,2396,,480,908,1008,-1,-1
1393,__master__,2396,,388,750,1258,-7,
1399,zhongyin,2394,,474,900,1020,-2,
1399,Arnab1999,2394,,484,842,1068,,
1399,chris920318,2394,,162,936,1296,-2,
1399,pradyum_bansal,2394,,480,896,1018,,
1399,StudyingFather,2394,,238,890,1266,-3,
1399,Oblivion_me,2394,,382,920,1092,-1,
1405,kek,2392,,438,774,1180,-3,
1406,not_so_cool_handle,2390,,436,940,1014,,
1406,hjj,2390,,426,818,1146,-3,
1406,kitsu__hi,2390,,450,824,1116,,
1409,donbasta,2388,,480,842,1066,,
1409,babydragon,2388,,402,732,1254,,
1409,I_love_Maria_Obukhova,2388,,312,936,1140,,-1
1412,and_lvov_sky,2386,,476,842,1068,-3,
1412,gurjeet8197,2386,,472,876,1038,,
1414,diifferent,2384,,432,854,1098,,
1415,BNL,2382,,478,920,984,,
1415,praveen_yadav,2382,,452,844,1086,,
1415,Raihanur_R,2382,,486,870,1026,,
1418,zengzk,2380,,472,904,1004,,
1418,IldarKA,2380,,488,944,948,,
1418,imoskovchenko,2380,,432,924,1024,-6,
1421,Palyushkavich,2378,,428,714,1236,-2,
1421,AV1502,2378,,418,868,1092,,
1421,GODOF_Shinobi,2378,,492,848,1038,,
1421,clearlove8,2378,,476,834,1068,-2,
1421,NKsupergate,2378,,482,884,1012,,
1421,annesa11,2378,,488,928,962,-1,
1421,ken282828282828,2378,,470,888,1020,,
1428,JackandJackson,2376,,470,826,1080,,-2
1428,bupt_magicstar,2376,,432,846,1098,,
1430,wzw19991105,2374,,488,818,1068,-1,
1431,mizukurage,2372,,478,760,1134,-5,
1432,snowfall29,2370,,420,852,1098,,
1432,sid_1310,2370,,482,916,972,,
1432,chetna_13,2370,,438,900,1032,,
1432,orange__,2370,,316,920,1134,,-1
1432,lwzzuishuai,2370,,482,900,988,,
1432,BigDaddyPanda,2370,,486,932,952,,
1438,ritvik_sangwan,2368,,486,916,966,,
1438,antos_07,2368,,424,750,1194,-2,
1438,mahade31,2368,,482,896,990,,
1441,Harmony_,2366,,490,706,1170,-4,
1441,Pawan_29,2366,,438,920,1008,,
1441,cereal_coder,2366,,448,868,1050,-1,
1441,Vitamin_r,2366,,434,900,1032,,
1441,tj.TDD,2366,,412,844,1110,-2,
1441,zz6d,2366,,488,932,946,,
1441,alpha_q2,2366,,476,920,970,,
1441,n_inja,2366,,298,718,1350,-8,
1449,Mohinemmmmmmmmmmmmmmmmm,2364,,382,884,1098,-1,
1449,Abra_Stone,2364,,484,878,1002,,-1
1449,egneeS,2364,,382,866,1116,-3,
1449,1729rockerhemant,2364,,416,868,1080,,
1453,Falca,2362,,424,876,1062,-2,
1453,saket21,2362,,490,948,924,,
1453,Siriuslight,2362,,484,816,1062,,
1453,NewClno1,2362,,484,774,1104,-1,
1457,azazLalka,2360,,474,860,1026,,
1457,sas1905,2360,,430,868,1062,-2,
1457,Artiprocher,2360,,470,774,1116,-1,
1460,Mkaka,2358,,478,866,1014,,
1461,CodePlatina,2356,,406,840,1110,,-1
1461,maksloboda,2356,,402,868,1086,-2,
1463,durgesha,2354,,418,876,1060,,
1463,Peter_Z,2354,,398,830,1126,-5,
1465,resonbility,2352,,300,822,1230,-3,
1465,20132121,2352,,482,904,966,,
1465,Boson,2352,,322,788,1242,-2,-3
1465,Mohan_abhyas,2352,,272,898,1182,,-1
1465,ekeitaro,2352,,326,920,1106,-9,
1465,info___tion,2352,,462,756,1134,-2,
1465,Karlis,2352,,486,896,970,-3,
1465,Raaeeiiss,2352,,358,730,1264,-4,
1473,Manas_Shukla,2350,,430,908,1012,,-1
1474,madeha99,2348,,480,826,1042,,
1475,IlyaCk,2346,,480,774,1092,-1,
1476,wennitao,2344,,414,902,1028,-2,
1476,Coccolino,2344,,356,868,1120,-1,
1476,Art,2344,,308,884,1152,,
1476,Dev0302,2344,,486,898,960,,-1
1476,jhhope1,2344,,480,856,1008,,
1481,xuxing,2342,,408,860,1074,,
1481,eonx_32,2342,,452,840,1050,,
1481,swust20175238,2342,,476,822,1044,-5,
1481,pranav_04,2342,,486,878,978,,
1485,Grennwolf,2340,,370,952,1018,,-2
1485,house-cat,2340,,406,848,1086,,
1487,poketred12,2338,,376,940,,1022,
1487,jiwenhao,2338,,484,732,1122,-1,
1487,bakpark,2338,,346,860,1132,,-2
1487,k7fly,2338,,484,900,954,,
1487,Radium1209,2338,,478,900,960,,
1492,vlado,2336,,324,960,-6,1052,
1492,arthurkomatsu,2336,,416,876,1044,-1,
1492,Niubility_n,2336,+2,470,654,1062,,
1495,xuxuxuxuxu,2334,,402,828,1104,,
1495,R_K_D,2334,,478,884,972,,
1495,zser,2334,,472,868,994,,
1495,starry_sky97,2334,,486,912,936,,
1495,AcAutomata,2334,,454,848,1032,,
1500,Ricksbestmorty,2332,,434,820,1078,,-1
1501,564415605,2330,,428,774,1128,,
1501,ArniX,2330,,382,854,1094,-1,
1501,Roham-family,2330,,370,864,1096,,
1501,wjyyy,2330,,232,838,1260,-4,
1501,DanGolov,2330,,370,844,1116,,
1501,BL7A.,2330,,-1,956,1374,-7,
1507,Kakalinn,2328,,310,860,1158,,-1
1507,ritesh_malav,2328,,452,820,1056,,
1507,shubham_364,2328,,482,904,942,,
1507,venkatvb,2328,,482,826,1020,,
1511,tattosha,2326,,490,768,1068,,
1511,winneryh,2326,,404,836,1086,,
1511,hnie_king_wxl,2326,,484,936,906,,
1514,lucifer,2324,,366,896,1062,-2,
1514,20164366,2324,,470,888,966,,
1514,yhj137,2324,,472,896,,956,
1514,Pbicem,2324,,422,872,1030,,
1514,parablack,2324,,-1,968,1356,,
1514,mathdude42,2324,,342,848,1134,,
1514,thisSideAnonymous,2324,,410,876,1038,,
1521,panmotian_2018,2322,+3,266,768,988,,
1521,solimm4sks,2322,,212,936,1174,,-1
1523,Gladius_Smerch,2320,,364,884,1072,-2,
1524,TheNoOne,2316,,362,832,1122,,
1524,MaximusTG,2316,,490,668,1158,,
1526,sh0w_st0pper,2314,,476,844,994,,
1526,yellowspectre,2314,,358,828,1128,,
1526,MaC1309,2314,,422,844,1048,-2,
1529,NinjaBoy,2312,,308,896,1108,,
1529,armennarkoman,2312,,478,726,1108,-3,
1529,sshiv,2312,,488,876,948,,
1529,nshul,2312,-1,484,870,1008,,
1529,OmarNaseer,2312,+5,494,-1,1368,,-2
1534,komolakanto,2310,,422,880,1008,,
1534,7989,2310,,474,846,990,,
1536,mas3399,2308,,428,824,1056,-1,
1536,vector_5790,2308,,480,790,1038,-1,
1536,Karavaev1101,2308,,384,924,1000,,
1536,Vivek_Rathi_53,2308,,426,842,1040,,
1536,zeeshan_ju,2308,,482,920,906,,
1536,Max958,2308,,,,1254,1054,
1542,HEXU345,2306,,400,610,1296,-3,
1542,TPDP899,2306,,458,864,984,,
1542,johnsourour,2306,,426,812,1068,,
1542,aman9802,2306,,438,842,1026,,
1542,sudhanshu6324,2306,,470,846,990,,
1547,RasendeRoland,2304,,428,832,1044,-2,
1547,MariamSalah,2304,,490,932,882,,
1549,bhowmik,2302,,428,776,1098,-2,
1550,wxx_louisa,2300,,-1,944,1356,-10,
1550,romit17,2300,,434,780,1086,,
1550,cordercorder,2300,,364,880,1056,,
1553,sukhad.anand,2298,,486,916,896,,
1553,frteen,2298,,464,816,1018,,
1553,codeict,2298,,-1,948,1350,-6,
1556,Sdipto33,2296,,474,892,930,,
1556,2008061626,2296,,436,816,1044,,
1556,QuinnG,2296,,354,892,1050,-1,
1556,dabbler011,2296,,406,840,1050,,
1556,gotrunks,2296,,416,856,1024,,
1556,wyj2018,2296,,450,852,994,,
1562,denya0918273645,2294,,430,928,936,,
1562,rika0384,2294,,490,776,1028,-8,
1562,Thanya_Leif,2294,,406,844,1044,,
1565,Kartik_715,2292,,488,920,884,,
1566,ChthollyNotaSeniorious,2290,,-4,952,1338,-6,-3
1566,Respect2D,2290,,472,774,1044,,
1566,SoFUckingBaD,2290,,,856,1434,-4,
1566,namanjain2707,2290,,486,802,1002,,
1570,Single_Ready_To_Mingle,2288,,466,856,966,,
1570,zile,2288,,488,948,852,,
1570,udbhav99,2288,+1,338,896,954,,
1573,JustinLamCF,2286,,432,858,996,,
1573,MylnikovNikolay,2286,,376,804,1106,-4,
1573,AaryanS941,2286,,382,908,996,,
1573,Timmy1003,2286,,474,752,1060,,
1577,andrey.abramov,2284,,486,936,862,,
1578,TreskaPLUSe,2282,,354,872,1056,,
1579,Jyf624761709,2280,,358,836,1086,,
1579,siddhantj,2280,,434,690,1156,,
1579,tanasaradu2,2280,,274,912,1094,-1,
1579,AlessandroChen,2280,,428,792,1060,,-3
1579,Kelang,2280,,436,844,1000,-2,
1584,--atm,2278,,412,872,994,,-4
1584,memezAreDreamz,2278,,488,812,978,,
1584,akifpatel,2278,,480,842,956,,
1584,rlj1202,2278,,468,876,934,,
1588,stark_boy,2276,-2,482,928,966,,
1588,ShadiHamdan,2276,,278,798,1200,-2,
1590,HeRaNO,2274,,484,728,1062,,
1590,LiLlox,2274,,288,858,1128,,
1590,ankit_btech,2274,,480,924,870,,
1593,pojarnaia_mashina,2272,,472,848,952,,
1593,smjlord068,2272,,484,732,1056,-3,
1593,AtillaAk,2272,,368,832,1072,,
1593,agnyaathavaasi,2272,,480,772,1020,-1,
1597,BIJOY_SUST,2270,,418,884,968,-2,
1598,piyush380,2268,,480,812,976,,
1599,serhatgiydiren,2266,,426,916,924,,
1599,digu_J,2266,,394,852,1020,,
1601,CheaSim,2264,,304,814,1146,-6,
1601,_ktulu_,2264,,416,798,1050,,
1603,boris918,2260,,370,916,974,-3,
1603,winer00,2260,,482,806,972,,
1603,r3t,2260,,380,712,1168,-1,
1603,DanLys,2260,,484,830,946,,
1603,wty92911,2260,,-1,928,1332,-5,-8
1608,hoyamag,2258,,348,848,1062,,
1608,P.O.F,2258,,472,850,936,,
1608,CindyMarshall,2258,,292,820,1146,,-1
1608,Crosspiece,2258,,352,788,1118,-4,
1608,Khanj,2258,,398,860,1000,,
1613,Ghost0fSparta,2256,,322,860,1074,-6,
1613,dat22,2256,,484,724,1048,,
1613,percy3538,2256,,326,880,1050,,
1616,mcmf,2254,,390,562,1302,-1,-1
1616,kevinpatel_20,2254,,272,896,1086,,
1618,Solo_Player.,2250,,186,878,1186,-2,
1618,1287365536,2250,,356,814,1080,-1,
1618,CTFang,2250,,482,772,996,,
1618,-_-_-_-,2250,,484,920,846,,
1618,Hamza,2250,,490,882,878,,
1618,mksgrd,2250,,482,814,954,,
1624,tender,2248,,418,888,942,,
1624,ajecc,2248,,492,964,792,,
1626,zacker-22,2246,,196,856,1194,,
1626,Skaty,2246,,410,872,964,,
1626,liweihang,2246,,476,888,882,,
1626,yatinpatel,2246,,484,916,846,,
1626,shurongwang,2246,,492,878,876,-5,
1631,Zing_,2244,,482,798,964,,
1631,wxl6666,2244,,462,860,922,,
1633,tears_dont_fall,2242,,484,904,854,,
1634,zhaoluo,2240,,468,806,966,,
1634,mira318,2240,,414,782,1044,,
1636,dhruvil_sutariya,2238,-1,486,884,918,,
1636,scor-A,2238,,398,828,1012,,
1636,god_alonely,2238,,432,842,964,,
1636,Dillonh_,2238,,406,800,1032,-7,
1640,limgit,2236,,396,880,960,,
1640,VeraK,2236,,470,716,1050,,
1640,nityashagrawal,2236,,480,866,890,,
1643,SugarSBN,2234,,494,944,-1,796,
1643,Maus_74,2234,,492,944,798,,
1643,indexs,2234,,380,876,978,,
1643,I_Love_NamiraSharmeen,2234,,452,876,906,,
1643,Lapokin,2234,,428,782,1024,,
1648,Nitori_Himari,2232,+1,326,816,990,,
1648,ACist,2232,,310,806,1116,-3,
1650,Houston-Rockets,2230,,482,788,960,,
1650,nvystys,2230,,400,744,1086,,
1650,IITianUG,2230,,484,900,846,,
1650,l-_-l,2230,,150,944,1136,-2,
1654,juruo_hjr,2228,,448,708,1072,-1,
1654,happy163,2228,,486,886,856,,
1654,kp_26,2228,,476,912,840,,
1654,lakshaygpt28,2228,,482,858,888,,
1654,mingzzc,2228,,442,828,958,,
1659,breathe_fire,2226,,-1,912,1314,,
1659,sadra17,2226,,480,916,830,,
1659,Surprised_Pikachu,2226,,488,850,888,,
1662,deepanshu,2224,,490,874,860,-3,
1662,VishwasLathi,2224,,416,880,928,,
1662,Deimos,2224,,422,908,894,,
1662,_Ice_Tea_,2224,,248,940,1036,,
1666,TANG1813,2222,,480,852,890,,
1666,ACgay_caoyue,2222,,362,750,1110,,-1
1666,tomas.o.sc,2222,,354,872,996,,
1669,Pulzatio,2220,,250,860,1110,,
1670,nanatoday,2218,,486,694,1038,-2,
1670,Zabiyaka,2218,,426,862,930,,-1
1670,bhabyajain_brj,2218,,412,856,950,,
1673,wreck_count,2216,,490,748,978,,
1673,ruban,2216,,428,792,996,,
1673,kiimak,2216,,486,878,852,,
1673,rickychandra,2216,,444,800,972,,
1677,revolIA,2214,,424,740,1050,,
1677,PAG,2214,,454,812,948,,
1679,pg999w,2212,,334,816,1062,,
1679,gebixiaofang,2212,,482,766,964,,
1681,timesong,2210,,466,810,934,,
1681,vvv23,2210,,482,708,1020,,
1681,aliencoder22,2210,,344,858,1008,,
1684,SaInsist,2208,,478,884,846,,
1684,krypt0Maniac,2208,,420,834,954,,
1684,spiyush118,2208,,288,852,1068,,
1687,tarakanolov,2206,,428,698,1080,-1,
1687,tang891228,2206,,380,788,1038,-1,
1687,Vid325,2206,,254,848,1104,-1,
1690,d_orwell,2204,,466,796,942,,
1690,Dipjal,2204,,492,948,764,-6,
1690,big_yellow_doge,2204,,476,824,904,,
1693,HazelNut,2202,,424,818,960,,
1693,skcs,2202,,410,864,928,,
1693,RSHS,2202,,400,668,1134,,
1693,1A2012,2202,,330,812,1060,-2,
1697,Rony23,2200,,446,746,1008,,
1697,sandeshghanta,2200,,432,916,852,,
1697,polarbear08,2200,,184,932,1084,,
1697,bin_0808,2200,,432,812,956,-2,
1697,P4L,2200,,484,816,900,,
1702,qrfkickit,2198,,470,900,828,,
1702,Shrey97,2198,,230,932,1036,,
1702,StarLee,2198,,470,876,852,,
1702,Nimazare,2198,,478,792,928,,
1706,ReliableExcaDemo,2196,,286,556,1354,,
1706,lolicon234,2196,,-1,936,1260,-6,
1706,asinop,2196,,416,896,884,,-2
1706,Pand9,2196,,-1,944,1252,-4,
1710,omshubham99,2192,,416,864,912,,
1710,cornhsu,2192,,402,844,946,,
1710,salihfc,2192,,402,876,914,,
1710,macsyg,2192,,488,644,-5,1060,
1714,Anubhav,2190,,412,834,944,,
1714,giaoger,2190,,422,806,962,-1,
1714,sjimed,2190,,170,856,1164,,
1717,Ritchie,2188,,378,916,894,,
1718,abhinav3010,2186,,356,852,978,,
1718,Adia,2186,,294,848,1044,,
1718,ani.bohara,2186,,480,940,766,,
1721,Void_Monitor,2184,,464,880,840,,
1722,bonzai,2182,,-1,968,1214,,
1723,xing_mo,2180,,456,710,1014,-1,
1723,DADDY_HONG,2180,,420,818,942,,
1723,milandungrani,2180,,424,904,852,,
1723,ZhouZhengyu,2180,,466,892,822,-3,
1723,thsr2556,2180,,466,884,830,,
1723,Saurabh303,2180,,486,928,766,,
1723,C21,2180,,-1,878,1302,-5,
1730,ruhan.habib39,2178,,290,556,1332,-5,
1731,ZZHzzh0_0,2176,,482,808,886,,
1731,zahra..d,2176,,424,834,918,,
1733,satya26,2174,,476,864,834,,
1733,pnershy13,2174,,428,750,996,,
1735,ArnavGarg,2172,,-1,924,1248,,
1736,jurichhh8,2170,,476,770,924,,
1736,abhinav_jain02,2170,,452,764,954,,
1738,zyb111,2168,,474,818,876,,
1738,koprus77,2168,,422,904,842,,
1738,AynaP,2168,,462,758,948,,
1741,IvanJobs,2166,,470,852,844,,
1741,dimdem,2166,,410,826,930,-1,
1743,rasen__shuriken,2164,,478,768,918,,
1743,ivan.sachkovski,2164,+1,266,678,1120,,
1745,jh9277,2162,,364,880,918,,
1745,I_love_Kim_Possible,2162,,340,862,960,,
1745,ChandlerH,2162,,478,880,804,,
1745,Yinku2017,2162,,356,860,946,-2,
1745,mini4141,2162,,488,932,742,,
1750,qwe854896,2160,,404,786,970,-2,
1751,codeminion,2158,,484,896,778,,
1751,SAUPeking,2158,,424,834,900,-1,
